OBJECTID_1,STATE,CLIMDIV,NAME,PercentChg
1,Delaware,702,SOUTHERN,6.57439765
2,Delaware,701,NORTHERN,7.041747931
3,Maryland,1808,ALLEGHENY PLATEAU,9.666146323
4,Maryland,1807,APPALACHIAN MOUNTAIN,8.53206587
5,Maryland,1806,NORTHERN CENTRAL,10.80631341
6,Maryland,1805,NORTHEASTERN SHORE,4.174842115
7,Maryland,1804,UPPER SOUTHERN,8.516370327
8,Maryland,1802,CENTRAL EASTERN SHORE,6.234585522
9,Maryland,1801,SOUTHEASTERN SHORE,9.289748498
10,Virginia,4401,TIDEWATER,10.65759582
11,Virginia,4404,NORTHERN,12.95134458
12,Virginia,4405,CENTRAL MOUNTAIN,8.969706878
13,Virginia,4402,EASTERN PIEDMONT,8.00095532
14,Virginia,4403,WESTERN PIEDMONT,9.609606108
15,Virginia,4406,SOUTHWESTERN MOUNTAIN,4.991794164
16,Maryland,1803,LOWER SOUTHERN,8.270302539
17,Pennsylvania,3610,NORTHWEST PLATEAU,11.56138877
18,Pennsylvania,3606,UPPER SUSQUEHANNA,13.70762642
19,Pennsylvania,3601,POCONO MOUNTAINS,12.52443381
20,Pennsylvania,3607,CENTRAL MOUNTAINS,7.5659407
21,Pennsylvania,3605,MIDDLE SUSQUEHANNA,6.552658317
22,Pennsylvania,3609,SOUTHWEST PLATEAU,10.06530184
23,Pennsylvania,3608,SOUTH CENTRAL MOUNTAINS,9.345087719
24,Pennsylvania,3604,LOWER SUSQUEHANNA,7.685445001
25,Pennsylvania,3603,SOUTHEASTERN PIEDMONT,10.73647434
26,Pennsylvania,3602,EAST CENTRAL MOUNTAINS,9.042332058
27,New York,3006,MOHAWK VALLEY,11.44358886
28,New York,3001,WESTERN PLATEAU,11.59902388
29,New York,3002,EASTERN PLATEAU,14.78540754
30,New York,3010,CENTRAL LAKES,17.62248013
31,West Virginia,4604,CENTRAL,2.864066118
32,West Virginia,4605,SOUTHERN,-0.20383791
33,West Virginia,4606,NORTHEASTERN,10.735229
